time,A's ID,B's ID,A Clicks,B Clicks,Looking at A's piece,Looking at B's piece
2015-04-14 10:32:51.887000,SP1S2,SP1S1,octopus_04,easy2_05,False,True
2015-04-14 10:32:51.989000,SP1S2,SP1S1,octopus_04,easy2_05,True,False
2015-04-14 10:32:52.090000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.187000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.287000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.387000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.486000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.587000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.686000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.787000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:52.886000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.019000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.119000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.220000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.318000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.519000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.621000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.721000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:53.952000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.087000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.185000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.286000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.418000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.519000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.618000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:54.751000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.023000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.253000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.351000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.484000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.584000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.684000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.785000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.886000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:55.984000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.086000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.184000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.284000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.383000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.550000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.652000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.750000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:56.918000,SP1S2,SP1S1,octopus_04,easy2_05,True,False
2015-04-14 10:32:57.050000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:57.150000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:57.484000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:57.583000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:57.716000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:57.983000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:58.149000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:58.251000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:58.717000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:58.815000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:58.915000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:59.182000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:59.348000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:59.583000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:32:59.714000,SP1S2,SP1S1,octopus_04,easy2_05,False,True
2015-04-14 10:32:59.847000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.050000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.147000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.248000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.348000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.446000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.547000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.646000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.747000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.881000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:00.980000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.080000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.181000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.280000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.380000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.546000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.678000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.779000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.878000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:01.979000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.078000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.179000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.279000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.378000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.478000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.579000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.681000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.779000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.878000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:02.978000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.211000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.344000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.443000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.578000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.677000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.778000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:03.910000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.011000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.110000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.211000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.310000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.543000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:04.643000,SP1S2,SP1S1,octopus_04,easy2_05,False,False
2015-04-14 10:33:06.212000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:06.409000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:06.612000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:06.875000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.010000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.175000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.276000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.375000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.476000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.574000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
