Subject Pair ID,Pair ID,Participant ID,Condition,Condition Order,Trial,Difficulty,Image Set,Image Number,Image ID,Time,Score,Gender Pair,Ethnicity,Age,Gender,English,Spatial Score,Gaze Accuracy,Pronouns
SP3S1,SP3,S1,No Gaze,1,2,Easy,1,1,2,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,No Gaze,1,2,Easy,1,1,2,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,No Gaze,1,3,Hard,1,2,3,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,No Gaze,1,3,Hard,1,2,3,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,No Gaze,1,4,Hard,1,3,4,0:05:03.414000,0,FF,2,2,F,YES,
SP3S2,SP3,S2,No Gaze,1,4,Hard,1,3,4,0:05:03.414000,0,FF,3,2,F,YES,
SP3S1,SP3,S1,Gaze,2,5,Easy,2,0,5,0:02:59.265000,170,FF,2,2,F,YES,
SP3S2,SP3,S2,Gaze,2,5,Easy,2,0,5,0:02:59.265000,170,FF,3,2,F,YES,
SP3S1,SP3,S1,Gaze,2,6,Easy,2,1,6,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,Gaze,2,6,Easy,2,1,6,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,Gaze,2,7,Hard,2,2,7,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,Gaze,2,7,Hard,2,2,7,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,Gaze,2,8,Hard,2,3,8,0:02:39.452000,0,FF,2,2,F,YES,
SP3S2,SP3,S2,Gaze,2,8,Hard,2,3,8,0:02:39.452000,0,FF,3,2,F,YES,
SP3S1,SP3,S1,Collocated,3,9,Easy,3,0,9,0:01:39.655000,180,FF,2,2,F,YES,
SP3S2,SP3,S2,Collocated,3,9,Easy,3,0,9,0:01:39.655000,180,FF,3,2,F,YES,
SP3S1,SP3,S1,Collocated,3,10,Easy,3,1,10,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,Collocated,3,10,Easy,3,1,10,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,Collocated,3,11,Hard,3,2,11,None,None,FF,2,2,F,YES,
SP3S2,SP3,S2,Collocated,3,11,Hard,3,2,11,None,None,FF,3,2,F,YES,
SP3S1,SP3,S1,Collocated,3,12,Hard,3,3,12,0:04:36.531000,0,FF,2,2,F,YES,
SP3S2,SP3,S2,Collocated,3,12,Hard,3,3,12,0:04:36.531000,0,FF,3,2,F,YES,
SP4S1,SP4,S1,No Gaze,1,1,Easy,3,0,9,0:03:48.530000,-170,FM,2,2,M,YES,
SP4S2,SP4,S2,No Gaze,1,1,Easy,3,0,9,0:03:48.530000,-170,FM,3,3,F,YES,
SP4S1,SP4,S1,No Gaze,1,2,Easy,3,1,10,None,None,FM,2,2,M,YES,
SP4S2,SP4,S2,No Gaze,1,2,Easy,3,1,10,None,None,FM,3,3,F,YES,
SP4S1,SP4,S1,No Gaze,1,3,Hard,3,2,11,0:06:55.060000,-610,FM,2,2,M,YES,
SP4S2,SP4,S2,No Gaze,1,3,Hard,3,2,11,0:06:55.060000,-610,FM,3,3,F,YES,
SP4S1,SP4,S1,No Gaze,1,4,Hard,3,3,12,None,None,FM,2,2,M,YES,
SP4S2,SP4,S2,No Gaze,1,4,Hard,3,3,12,None,None,FM,3,3,F,YES,
SP4S1,SP4,S1,Gaze,2,5,Easy,1,0,1,0:04:23.583000,-140,FM,2,2,M,YES,
SP4S2,SP4,S2,Gaze,2,5,Easy,1,0,1,0:04:23.583000,-140,FM,3,3,F,YES,
SP4S1,SP4,S1,Gaze,2,6,Easy,1,1,2,None,None,FM,2,2,M,YES,
SP4S2,SP4,S2,Gaze,2,6,Easy,1,1,2,None,None,FM,3,3,F,YES,
SP4S1,SP4,S1,Gaze,2,7,Hard,1,2,3,0:03:41.190000,30,FM,2,2,M,YES,
SP4S2,SP4,S2,Gaze,2,7,Hard,1,2,3,0:03:41.190000,30,FM,3,3,F,YES,
SP4S1,SP4,S1,Gaze,2,8,Hard,1,3,4,0:07:05.876000,0,FM,2,2,M,YES,
SP4S2,SP4,S2,Gaze,2,8,Hard,1,3,4,0:07:05.876000,0,FM,3,3,F,YES,
SP4S1,SP4,S1,Collocated,3,9,Easy,2,0,5,0:02:49.321000,110,FM,2,2,M,YES,
SP4S2,SP4,S2,Collocated,3,9,Easy,2,0,5,0:02:49.321000,110,FM,3,3,F,YES,
SP4S1,SP4,S1,Collocated,3,10,Easy,2,1,6,None,None,FM,2,2,M,YES,
SP4S2,SP4,S2,Collocated,3,10,Easy,2,1,6,None,None,FM,3,3,F,YES,
SP4S1,SP4,S1,Collocated,3,11,Hard,2,2,7,None,None,FM,2,2,M,YES,
SP4S2,SP4,S2,Collocated,3,11,Hard,2,2,7,None,None,FM,3,3,F,YES,
SP4S1,SP4,S1,Collocated,3,12,Hard,2,3,8,0:02:18.137000,0,FM,2,2,M,YES,
SP4S2,SP4,S2,Collocated,3,12,Hard,2,3,8,0:02:18.137000,0,FM,3,3,F,YES,
SP5S1,SP5,S1,Gaze,1,1,Easy,2,0,5,0:03:50.032000,-410,FF,2,3,F,YES,
SP5S2,SP5,S2,Gaze,1,1,Easy,2,0,5,0:03:50.032000,-410,FF,3,2,F,YES,
SP5S1,SP5,S1,Gaze,1,2,Easy,2,1,6,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,Gaze,1,2,Easy,2,1,6,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,Gaze,1,3,Hard,2,2,7,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,Gaze,1,3,Hard,2,2,7,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,Gaze,1,4,Hard,2,3,8,0:05:51.938000,0,FF,2,3,F,YES,
SP5S2,SP5,S2,Gaze,1,4,Hard,2,3,8,0:05:51.938000,0,FF,3,2,F,YES,
SP5S1,SP5,S1,No Gaze,2,5,Easy,3,0,9,0:01:25.190000,90,FF,2,3,F,YES,
SP5S2,SP5,S2,No Gaze,2,5,Easy,3,0,9,0:01:25.190000,90,FF,3,2,F,YES,
SP5S1,SP5,S1,No Gaze,2,6,Easy,3,1,10,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,No Gaze,2,6,Easy,3,1,10,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,No Gaze,2,7,Hard,3,2,11,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,No Gaze,2,7,Hard,3,2,11,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,No Gaze,2,8,Hard,3,3,12,0:02:35.063000,0,FF,2,3,F,YES,
SP5S2,SP5,S2,No Gaze,2,8,Hard,3,3,12,0:02:35.063000,0,FF,3,2,F,YES,
SP5S1,SP5,S1,Collocated,3,9,Easy,1,0,1,0:02:21.533000,-210,FF,2,3,F,YES,
SP5S2,SP5,S2,Collocated,3,9,Easy,1,0,1,0:02:21.533000,-210,FF,3,2,F,YES,
SP5S1,SP5,S1,Collocated,3,10,Easy,1,1,2,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,Collocated,3,10,Easy,1,1,2,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,Collocated,3,11,Hard,1,2,3,None,None,FF,2,3,F,YES,
SP5S2,SP5,S2,Collocated,3,11,Hard,1,2,3,None,None,FF,3,2,F,YES,
SP5S1,SP5,S1,Collocated,3,12,Hard,1,3,4,0:04:13.720000,0,FF,2,3,F,YES,
SP5S2,SP5,S2,Collocated,3,12,Hard,1,3,4,0:04:13.720000,0,FF,3,2,F,YES,
SP6S1,SP6,S1,Collocated ,1,1,Easy,1,0,1,0:01:38.262000,140,FF,3,3,F,YES,
SP6S2,SP6,S2,Collocated ,1,1,Easy,1,0,1,0:01:38.262000,140,FF,5,2,F,YES,
SP6S1,SP6,S1,Collocated ,1,2,Easy,1,1,2,0:01:18.771000,130,FF,3,3,F,YES,
SP6S2,SP6,S2,Collocated ,1,2,Easy,1,1,2,0:01:18.771000,130,FF,5,2,F,YES,
SP6S1,SP6,S1,Collocated ,1,3,Hard,1,2,3,0:04:03.430000,-420,FF,3,3,F,YES,
SP6S2,SP6,S2,Collocated ,1,3,Hard,1,2,3,0:04:03.430000,-420,FF,5,2,F,YES,
SP6S1,SP6,S1,Collocated ,1,4,Hard,1,3,4,0:04:13.893000,0,FF,3,3,F,YES,
SP6S2,SP6,S2,Collocated ,1,4,Hard,1,3,4,0:04:13.893000,0,FF,5,2,F,YES,
SP6S1,SP6,S1,No Gaze,2,5,Easy,2,0,5,0:02:17.477000,280,FF,3,3,F,YES,
SP6S2,SP6,S2,No Gaze,2,5,Easy,2,0,5,0:02:17.477000,280,FF,5,2,F,YES,
SP6S1,SP6,S1,No Gaze,2,6,Easy,2,1,6,0:01:44.153000,240,FF,3,3,F,YES,
SP6S2,SP6,S2,No Gaze,2,6,Easy,2,1,6,0:01:44.153000,240,FF,5,2,F,YES,
SP6S1,SP6,S1,No Gaze,2,7,Hard,2,2,7,0:04:51.785000,10,FF,3,3,F,YES,
SP6S2,SP6,S2,No Gaze,2,7,Hard,2,2,7,0:04:51.785000,10,FF,5,2,F,YES,
SP6S1,SP6,S1,No Gaze,2,8,Hard,2,3,8,0:04:07.148000,0,FF,3,3,F,YES,
SP6S2,SP6,S2,No Gaze,2,8,Hard,2,3,8,0:04:07.148000,0,FF,5,2,F,YES,
SP6S1,SP6,S1,Gaze,3,9,Easy,3,0,9,0:02:01.470000,160,FF,3,3,F,YES,
SP6S2,SP6,S2,Gaze,3,9,Easy,3,0,9,0:02:01.470000,160,FF,5,2,F,YES,
SP6S1,SP6,S1,Gaze,3,10,Easy,3,1,10,0:02:36.301000,190,FF,3,3,F,YES,
SP6S2,SP6,S2,Gaze,3,10,Easy,3,1,10,0:02:36.301000,190,FF,5,2,F,YES,
SP6S1,SP6,S1,Gaze,3,11,Hard,3,2,11,0:04:22.885000,120,FF,3,3,F,YES,
SP6S2,SP6,S2,Gaze,3,11,Hard,3,2,11,0:04:22.885000,120,FF,5,2,F,YES,
SP6S1,SP6,S1,Gaze,3,12,Hard,3,3,12,0:03:43.050000,0,FF,3,3,F,YES,
SP6S2,SP6,S2,Gaze,3,12,Hard,3,3,12,0:03:43.050000,0,FF,5,2,F,YES,
