Test at 5/7/2015 5:15:10 PM,

Client Num:, 31, X: ,680, Y: ,117,Time: ,2015-05-07 17:15:25.212
Client Num: ,31, X_Received: ,769, Y_Received: ,73,Time: ,2015-05-07 17:15:25.212
Client Num:, 31, X: ,661, Y: ,127,Time: ,2015-05-07 17:15:25.312
Client Num: ,31, X_Received: ,755, Y_Received: ,65,Time: ,2015-05-07 17:15:25.312
Client Num:, 31, X: ,299, Y: ,158,Time: ,2015-05-07 17:15:25.412
Client Num: ,31, X_Received: ,561, Y_Received: ,264,Time: ,2015-05-07 17:15:25.412
Client Num:, 31, X: ,306, Y: ,170,Time: ,2015-05-07 17:15:25.513
Client Num: ,31, X_Received: ,585, Y_Received: ,266,Time: ,2015-05-07 17:15:25.513
Client Num:, 31, X: ,140, Y: ,415,Time: ,2015-05-07 17:15:25.613
Client Num: ,31, X_Received: ,582, Y_Received: ,266,Time: ,2015-05-07 17:15:25.613
Client Num:, 31, X: ,79, Y: ,549,Time: ,2015-05-07 17:15:25.713
Client Num: ,31, X_Received: ,583, Y_Received: ,266,Time: ,2015-05-07 17:15:25.713
Client Num:, 31, X: ,76, Y: ,547,Time: ,2015-05-07 17:15:25.813
Client Num: ,31, X_Received: ,277, Y_Received: ,279,Time: ,2015-05-07 17:15:25.813
Client Num:, 31, X: ,58, Y: ,551,Time: ,2015-05-07 17:15:25.912
Client Num: ,31, X_Received: ,280, Y_Received: ,281,Time: ,2015-05-07 17:15:25.912
Client Num:, 31, X: ,54, Y: ,541,Time: ,2015-05-07 17:15:26.014
Client Num: ,31, X_Received: ,188, Y_Received: ,599,Time: ,2015-05-07 17:15:26.014
Client Num:, 31, X: ,52, Y: ,530,Time: ,2015-05-07 17:15:26.113
Client Num: ,31, X_Received: ,197, Y_Received: ,607,Time: ,2015-05-07 17:15:26.113
Client Num:, 31, X: ,51, Y: ,521,Time: ,2015-05-07 17:15:26.212
Client Num: ,31, X_Received: ,200, Y_Received: ,604,Time: ,2015-05-07 17:15:26.212
Client Num:, 31, X: ,73, Y: ,307,Time: ,2015-05-07 17:15:26.445
Client Num: ,31, X_Received: ,199, Y_Received: ,596,Time: ,2015-05-07 17:15:26.445
Client Num:, 31, X: ,26, Y: ,436,Time: ,2015-05-07 17:15:26.546
Client Num: ,31, X_Received: ,197, Y_Received: ,590,Time: ,2015-05-07 17:15:26.546
Client Num:, 31, X: ,30, Y: ,414,Time: ,2015-05-07 17:15:26.645
Client Num: ,31, X_Received: ,169, Y_Received: ,573,Time: ,2015-05-07 17:15:26.645
Client Num:, 31, X: ,21, Y: ,456,Time: ,2015-05-07 17:15:26.745
Client Num: ,31, X_Received: ,136, Y_Received: ,549,Time: ,2015-05-07 17:15:26.745
Client Num:, 31, X: ,22, Y: ,542,Time: ,2015-05-07 17:15:26.846
Client Num: ,31, X_Received: ,118, Y_Received: ,533,Time: ,2015-05-07 17:15:26.846
Client Num:, 31, X: ,12, Y: ,544,Time: ,2015-05-07 17:15:26.945
Client Num: ,31, X_Received: ,203, Y_Received: ,265,Time: ,2015-05-07 17:15:26.945
Client Num:, 31, X: ,15, Y: ,548,Time: ,2015-05-07 17:15:27.044
Client Num: ,31, X_Received: ,203, Y_Received: ,250,Time: ,2015-05-07 17:15:27.044
