
Test at 4/14/2015 4:26:52 PM,

Client Num:, 5, X: ,105, Y: ,871,Time: ,2015-04-14 16:27:19.057
Client Num:, 5, X: ,110, Y: ,877,Time: ,2015-04-14 16:27:19.158
Client Num:, 5, X: ,600, Y: ,854,Time: ,2015-04-14 16:27:19.258
Client Num:, 5, X: ,590, Y: ,852,Time: ,2015-04-14 16:27:19.359
Client Num:, 5, X: ,381, Y: ,1204,Time: ,2015-04-14 16:27:19.591
Client Num:, 5, X: ,1114, Y: ,945,Time: ,2015-04-14 16:27:19.858
Client Num:, 5, X: ,1202, Y: ,954,Time: ,2015-04-14 16:27:19.956
Client Num:, 5, X: ,1200, Y: ,954,Time: ,2015-04-14 16:27:20.056
Client Num:, 5, X: ,1193, Y: ,953,Time: ,2015-04-14 16:27:20.157
Client Num:, 5, X: ,1192, Y: ,954,Time: ,2015-04-14 16:27:20.256
Client Num:, 5, X: ,1191, Y: ,953,Time: ,2015-04-14 16:27:20.357
Client Num:, 5, X: ,952, Y: ,751,Time: ,2015-04-14 16:27:20.457
Client Num:, 5, X: ,510, Y: ,582,Time: ,2015-04-14 16:27:20.557
Client Num:, 5, X: ,292, Y: ,480,Time: ,2015-04-14 16:27:20.657
Client Num:, 5, X: ,291, Y: ,397,Time: ,2015-04-14 16:27:20.757
Client Num:, 5, X: ,334, Y: ,178,Time: ,2015-04-14 16:27:20.856
Client Num:, 5, X: ,342, Y: ,195,Time: ,2015-04-14 16:27:20.959
Client Num:, 5, X: ,352, Y: ,190,Time: ,2015-04-14 16:27:21.057
Client Num:, 5, X: ,367, Y: ,192,Time: ,2015-04-14 16:27:21.157
Client Num:, 5, X: ,330, Y: ,168,Time: ,2015-04-14 16:27:21.255
Client Num:, 5, X: ,302, Y: ,152,Time: ,2015-04-14 16:27:21.357
Client Num:, 5, X: ,935, Y: ,578,Time: ,2015-04-14 16:27:21.657
Client Num:, 5, X: ,344, Y: ,939,Time: ,2015-04-14 16:27:21.755
Client Num:, 5, X: ,406, Y: ,1005,Time: ,2015-04-14 16:27:21.855
Client Num:, 5, X: ,394, Y: ,1008,Time: ,2015-04-14 16:27:21.955
Client Num:, 5, X: ,391, Y: ,1011,Time: ,2015-04-14 16:27:22.055
Client Num:, 5, X: ,390, Y: ,1014,Time: ,2015-04-14 16:27:22.156
Client Num:, 5, X: ,387, Y: ,1010,Time: ,2015-04-14 16:27:22.255
Client Num:, 5, X: ,385, Y: ,1009,Time: ,2015-04-14 16:27:22.356
Client Num:, 5, X: ,381, Y: ,1012,Time: ,2015-04-14 16:27:22.455
Client Num:, 5, X: ,377, Y: ,1014,Time: ,2015-04-14 16:27:22.556
Client Num:, 5, X: ,375, Y: ,1014,Time: ,2015-04-14 16:27:22.655
Client Num:, 5, X: ,373, Y: ,1013,Time: ,2015-04-14 16:27:22.756
Client Num:, 5, X: ,372, Y: ,1013,Time: ,2015-04-14 16:27:22.856
Client Num:, 5, X: ,368, Y: ,1016,Time: ,2015-04-14 16:27:22.955
Client Num:, 5, X: ,366, Y: ,1016,Time: ,2015-04-14 16:27:23.057
Client Num:, 5, X: ,364, Y: ,1014,Time: ,2015-04-14 16:27:23.153
Client Num:, 5, X: ,367, Y: ,1017,Time: ,2015-04-14 16:27:23.255
Client Num:, 5, X: ,369, Y: ,1022,Time: ,2015-04-14 16:27:23.353
Client Num:, 5, X: ,370, Y: ,1024,Time: ,2015-04-14 16:27:23.455
Client Num:, 5, X: ,368, Y: ,1026,Time: ,2015-04-14 16:27:23.554
Client Num:, 5, X: ,366, Y: ,1028,Time: ,2015-04-14 16:27:23.655
Client Num:, 5, X: ,365, Y: ,1030,Time: ,2015-04-14 16:27:23.754
Client Num:, 5, X: ,361, Y: ,1035,Time: ,2015-04-14 16:27:23.853
Client Num:, 5, X: ,713, Y: ,-41,Time: ,2015-04-14 16:27:23.956
Client Num:, 5, X: ,502, Y: ,61,Time: ,2015-04-14 16:27:24.187
Client Num:, 5, X: ,444, Y: ,102,Time: ,2015-04-14 16:27:24.287
Client Num:, 5, X: ,412, Y: ,109,Time: ,2015-04-14 16:27:24.387
Client Num:, 5, X: ,405, Y: ,108,Time: ,2015-04-14 16:27:24.486
Client Num:, 5, X: ,404, Y: ,105,Time: ,2015-04-14 16:27:24.587
Client Num:, 5, X: ,407, Y: ,107,Time: ,2015-04-14 16:27:24.685
Client Num:, 5, X: ,411, Y: ,110,Time: ,2015-04-14 16:27:24.786
Client Num:, 5, X: ,415, Y: ,115,Time: ,2015-04-14 16:27:24.889
Client Num:, 5, X: ,696, Y: ,909,Time: ,2015-04-14 16:27:25.287
Client Num:, 5, X: ,700, Y: ,897,Time: ,2015-04-14 16:27:25.385
Client Num:, 5, X: ,686, Y: ,861,Time: ,2015-04-14 16:27:25.487
Client Num:, 5, X: ,683, Y: ,870,Time: ,2015-04-14 16:27:25.586
Client Num:, 5, X: ,657, Y: ,861,Time: ,2015-04-14 16:27:25.685
Client Num:, 5, X: ,642, Y: ,857,Time: ,2015-04-14 16:27:25.786
Client Num:, 5, X: ,1464, Y: ,830,Time: ,2015-04-14 16:27:25.886
Client Num:, 5, X: ,1479, Y: ,840,Time: ,2015-04-14 16:27:25.984
Client Num:, 5, X: ,1481, Y: ,838,Time: ,2015-04-14 16:27:26.085
Client Num:, 5, X: ,1479, Y: ,836,Time: ,2015-04-14 16:27:26.185
Client Num:, 5, X: ,1475, Y: ,834,Time: ,2015-04-14 16:27:26.285
Client Num:, 5, X: ,1473, Y: ,833,Time: ,2015-04-14 16:27:26.386
Client Num:, 5, X: ,1461, Y: ,833,Time: ,2015-04-14 16:27:26.485
Client Num:, 5, X: ,1450, Y: ,833,Time: ,2015-04-14 16:27:26.584
Client Num:, 5, X: ,1447, Y: ,833,Time: ,2015-04-14 16:27:26.685
Client Num:, 5, X: ,1446, Y: ,833,Time: ,2015-04-14 16:27:26.986
Client Num:, 5, X: ,1363, Y: ,837,Time: ,2015-04-14 16:27:27.119
Client Num:, 5, X: ,1363, Y: ,829,Time: ,2015-04-14 16:27:27.218
Client Num:, 5, X: ,1378, Y: ,840,Time: ,2015-04-14 16:27:27.319
Client Num:, 5, X: ,1501, Y: ,835,Time: ,2015-04-14 16:27:27.417
Client Num:, 5, X: ,1515, Y: ,830,Time: ,2015-04-14 16:27:27.517
Client Num:, 5, X: ,1520, Y: ,831,Time: ,2015-04-14 16:27:27.616
Client Num:, 5, X: ,1521, Y: ,830,Time: ,2015-04-14 16:27:27.718
Client Num:, 5, X: ,1522, Y: ,832,Time: ,2015-04-14 16:27:27.817
Client Num:, 5, X: ,1526, Y: ,831,Time: ,2015-04-14 16:27:27.917
Client Num:, 5, X: ,1526, Y: ,831,Time: ,2015-04-14 16:27:28.017
Client Num:, 5, X: ,1526, Y: ,829,Time: ,2015-04-14 16:27:28.118
Client Num:, 5, X: ,1097, Y: ,581,Time: ,2015-04-14 16:27:28.217
Client Num:, 5, X: ,263, Y: ,155,Time: ,2015-04-14 16:27:28.483
Client Num:, 5, X: ,139, Y: ,112,Time: ,2015-04-14 16:27:28.583
Client Num:, 5, X: ,141, Y: ,103,Time: ,2015-04-14 16:27:28.683
Client Num:, 5, X: ,136, Y: ,108,Time: ,2015-04-14 16:27:28.783
Client Num:, 5, X: ,135, Y: ,112,Time: ,2015-04-14 16:27:28.883
Client Num:, 5, X: ,138, Y: ,105,Time: ,2015-04-14 16:27:28.983
Client Num:, 5, X: ,137, Y: ,96,Time: ,2015-04-14 16:27:29.083
Client Num:, 5, X: ,137, Y: ,96,Time: ,2015-04-14 16:27:29.184
Client Num:, 5, X: ,116, Y: ,93,Time: ,2015-04-14 16:27:29.285
Client Num:, 5, X: ,96, Y: ,89,Time: ,2015-04-14 16:27:29.383
