
Test at 5/5/2015 10:11:36 AM,

Client Num:, 21, X: ,91, Y: ,300,Time: ,2015-05-05 10:11:43.952
Client Num:, 21, X: ,93, Y: ,302,Time: ,2015-05-05 10:11:44.052
Client Num:, 21, X: ,95, Y: ,300,Time: ,2015-05-05 10:11:44.151
Client Num:, 21, X: ,108, Y: ,294,Time: ,2015-05-05 10:11:44.252
Client Num:, 21, X: ,131, Y: ,286,Time: ,2015-05-05 10:11:44.351
Client Num:, 21, X: ,322, Y: ,95,Time: ,2015-05-05 10:11:44.452
Client Num:, 21, X: ,327, Y: ,99,Time: ,2015-05-05 10:11:44.551
Client Num:, 21, X: ,322, Y: ,107,Time: ,2015-05-05 10:11:44.651
Client Num:, 21, X: ,329, Y: ,113,Time: ,2015-05-05 10:11:44.751
Client Num:, 21, X: ,880, Y: ,129,Time: ,2015-05-05 10:11:44.851
Client Num:, 21, X: ,888, Y: ,131,Time: ,2015-05-05 10:11:44.951
Client Num:, 21, X: ,880, Y: ,146,Time: ,2015-05-05 10:11:45.051
Client Num:, 21, X: ,854, Y: ,159,Time: ,2015-05-05 10:11:45.151
Client Num:, 21, X: ,844, Y: ,169,Time: ,2015-05-05 10:11:45.251
Client Num:, 21, X: ,839, Y: ,181,Time: ,2015-05-05 10:11:45.350
Client Num:, 21, X: ,837, Y: ,191,Time: ,2015-05-05 10:11:45.451
Client Num:, 21, X: ,835, Y: ,201,Time: ,2015-05-05 10:11:45.551
Client Num:, 21, X: ,1052, Y: ,190,Time: ,2015-05-05 10:11:45.650
Client Num:, 21, X: ,1036, Y: ,189,Time: ,2015-05-05 10:11:45.751
Client Num:, 21, X: ,1035, Y: ,179,Time: ,2015-05-05 10:11:45.850
Client Num:, 21, X: ,1038, Y: ,177,Time: ,2015-05-05 10:11:45.952
Client Num:, 21, X: ,1041, Y: ,174,Time: ,2015-05-05 10:11:46.050
Client Num:, 21, X: ,1040, Y: ,171,Time: ,2015-05-05 10:11:46.150
Client Num:, 21, X: ,1040, Y: ,169,Time: ,2015-05-05 10:11:46.250
Client Num:, 21, X: ,1039, Y: ,171,Time: ,2015-05-05 10:11:46.350
Client Num:, 21, X: ,1252, Y: ,178,Time: ,2015-05-05 10:11:46.450
Client Num:, 21, X: ,1251, Y: ,214,Time: ,2015-05-05 10:11:46.550
Client Num:, 21, X: ,1235, Y: ,212,Time: ,2015-05-05 10:11:46.650
Client Num:, 21, X: ,1018, Y: ,294,Time: ,2015-05-05 10:11:46.750
Client Num:, 21, X: ,1012, Y: ,285,Time: ,2015-05-05 10:11:46.850
Client Num:, 21, X: ,1012, Y: ,285,Time: ,2015-05-05 10:11:46.949
Client Num:, 21, X: ,1013, Y: ,276,Time: ,2015-05-05 10:11:47.049
Client Num:, 21, X: ,1011, Y: ,269,Time: ,2015-05-05 10:11:47.149
Client Num:, 21, X: ,1008, Y: ,271,Time: ,2015-05-05 10:11:47.249
Client Num:, 21, X: ,1007, Y: ,270,Time: ,2015-05-05 10:11:47.349
Client Num:, 21, X: ,1006, Y: ,269,Time: ,2015-05-05 10:11:47.449
Client Num:, 21, X: ,1007, Y: ,267,Time: ,2015-05-05 10:11:47.549
Client Num:, 21, X: ,1007, Y: ,262,Time: ,2015-05-05 10:11:47.648
Client Num:, 21, X: ,1006, Y: ,262,Time: ,2015-05-05 10:11:47.749
Client Num:, 21, X: ,1004, Y: ,263,Time: ,2015-05-05 10:11:47.850
Client Num:, 21, X: ,1003, Y: ,260,Time: ,2015-05-05 10:11:47.948
Client Num:, 21, X: ,1002, Y: ,257,Time: ,2015-05-05 10:11:48.049
Client Num:, 21, X: ,1001, Y: ,257,Time: ,2015-05-05 10:11:48.148
Client Num:, 21, X: ,999, Y: ,254,Time: ,2015-05-05 10:11:48.249
Client Num:, 21, X: ,910, Y: ,465,Time: ,2015-05-05 10:11:48.348
Client Num:, 21, X: ,890, Y: ,911,Time: ,2015-05-05 10:11:48.449
Client Num:, 21, X: ,880, Y: ,918,Time: ,2015-05-05 10:11:48.549
Client Num:, 21, X: ,695, Y: ,869,Time: ,2015-05-05 10:11:48.648
Client Num:, 21, X: ,635, Y: ,861,Time: ,2015-05-05 10:11:48.748
Client Num:, 21, X: ,593, Y: ,859,Time: ,2015-05-05 10:11:48.848
Client Num:, 21, X: ,528, Y: ,856,Time: ,2015-05-05 10:11:48.948
Client Num:, 21, X: ,511, Y: ,857,Time: ,2015-05-05 10:11:49.048
Client Num:, 21, X: ,487, Y: ,858,Time: ,2015-05-05 10:11:49.148
Client Num:, 21, X: ,469, Y: ,857,Time: ,2015-05-05 10:11:49.248
Client Num:, 21, X: ,375, Y: ,855,Time: ,2015-05-05 10:11:49.349
Client Num:, 21, X: ,375, Y: ,855,Time: ,2015-05-05 10:11:49.447
Client Num:, 21, X: ,385, Y: ,856,Time: ,2015-05-05 10:11:49.547
Client Num:, 21, X: ,393, Y: ,854,Time: ,2015-05-05 10:11:49.647
Client Num:, 21, X: ,583, Y: ,866,Time: ,2015-05-05 10:11:49.747
Client Num:, 21, X: ,576, Y: ,865,Time: ,2015-05-05 10:11:49.847
Client Num:, 21, X: ,577, Y: ,865,Time: ,2015-05-05 10:11:49.948
Client Num:, 21, X: ,570, Y: ,867,Time: ,2015-05-05 10:11:50.047
Client Num:, 21, X: ,561, Y: ,868,Time: ,2015-05-05 10:11:50.146
Client Num:, 21, X: ,541, Y: ,867,Time: ,2015-05-05 10:11:50.247
Client Num:, 21, X: ,294, Y: ,862,Time: ,2015-05-05 10:11:50.347
Client Num:, 21, X: ,302, Y: ,844,Time: ,2015-05-05 10:11:50.447
Client Num:, 21, X: ,294, Y: ,846,Time: ,2015-05-05 10:11:50.547
Client Num:, 21, X: ,281, Y: ,848,Time: ,2015-05-05 10:11:50.646
Client Num:, 21, X: ,274, Y: ,849,Time: ,2015-05-05 10:11:50.747
Client Num:, 21, X: ,256, Y: ,845,Time: ,2015-05-05 10:11:51.046
Client Num:, 21, X: ,575, Y: ,395,Time: ,2015-05-05 10:11:51.146
Client Num:, 21, X: ,572, Y: ,369,Time: ,2015-05-05 10:11:51.246
Client Num:, 21, X: ,419, Y: ,161,Time: ,2015-05-05 10:11:51.347
Client Num:, 21, X: ,415, Y: ,130,Time: ,2015-05-05 10:11:51.445
Client Num:, 21, X: ,371, Y: ,136,Time: ,2015-05-05 10:11:51.546
Client Num:, 21, X: ,323, Y: ,136,Time: ,2015-05-05 10:11:51.645
Client Num:, 21, X: ,294, Y: ,132,Time: ,2015-05-05 10:11:51.746
Client Num:, 21, X: ,210, Y: ,654,Time: ,2015-05-05 10:11:51.846
Client Num:, 21, X: ,209, Y: ,657,Time: ,2015-05-05 10:11:51.945
Client Num:, 21, X: ,207, Y: ,670,Time: ,2015-05-05 10:11:52.045
Client Num:, 21, X: ,205, Y: ,631,Time: ,2015-05-05 10:11:52.145
Client Num:, 21, X: ,202, Y: ,612,Time: ,2015-05-05 10:11:52.246
Client Num:, 21, X: ,199, Y: ,600,Time: ,2015-05-05 10:11:52.345
Client Num:, 21, X: ,196, Y: ,592,Time: ,2015-05-05 10:11:52.445
Client Num:, 21, X: ,193, Y: ,615,Time: ,2015-05-05 10:11:52.545
Client Num:, 21, X: ,189, Y: ,634,Time: ,2015-05-05 10:11:52.645
Client Num:, 21, X: ,186, Y: ,650,Time: ,2015-05-05 10:11:52.745
Client Num:, 21, X: ,183, Y: ,663,Time: ,2015-05-05 10:11:52.844
Client Num:, 21, X: ,191, Y: ,687,Time: ,2015-05-05 10:11:52.945
Client Num:, 21, X: ,201, Y: ,708,Time: ,2015-05-05 10:11:53.045
Client Num:, 21, X: ,221, Y: ,727,Time: ,2015-05-05 10:11:53.144
Client Num:, 21, X: ,570, Y: ,-1772,Time: ,2015-05-05 10:11:53.411
Client Num:, 21, X: ,290, Y: ,-2471,Time: ,2015-05-05 10:11:53.710
Client Num:, 21, X: ,2622, Y: ,-2783,Time: ,2015-05-05 10:11:53.944
Client Num:, 21, X: ,1333, Y: ,-3751,Time: ,2015-05-05 10:11:56.575
Client Num:, 21, X: ,1310, Y: ,-3100,Time: ,2015-05-05 10:12:01.638
Client Num:, 21, X: ,1241, Y: ,-2033,Time: ,2015-05-05 10:12:02.304
Client Num:, 21, X: ,716, Y: ,193,Time: ,2015-05-05 10:12:02.404
Client Num:, 21, X: ,369, Y: ,484,Time: ,2015-05-05 10:12:02.503
Client Num:, 21, X: ,208, Y: ,642,Time: ,2015-05-05 10:12:02.604
Client Num:, 21, X: ,172, Y: ,583,Time: ,2015-05-05 10:12:02.703
Client Num:, 21, X: ,161, Y: ,563,Time: ,2015-05-05 10:12:02.803
Client Num:, 21, X: ,159, Y: ,562,Time: ,2015-05-05 10:12:02.903
Client Num:, 21, X: ,158, Y: ,563,Time: ,2015-05-05 10:12:03.003
Client Num:, 21, X: ,153, Y: ,576,Time: ,2015-05-05 10:12:03.103
Client Num:, 21, X: ,149, Y: ,587,Time: ,2015-05-05 10:12:03.203
Client Num:, 21, X: ,146, Y: ,595,Time: ,2015-05-05 10:12:03.303
Client Num:, 21, X: ,166, Y: ,603,Time: ,2015-05-05 10:12:03.403
Client Num:, 21, X: ,183, Y: ,608,Time: ,2015-05-05 10:12:03.503
Client Num:, 21, X: ,531, Y: ,999,Time: ,2015-05-05 10:12:03.603
Client Num:, 21, X: ,537, Y: ,1006,Time: ,2015-05-05 10:12:03.703
Client Num:, 21, X: ,469, Y: ,994,Time: ,2015-05-05 10:12:03.802
Client Num:, 21, X: ,476, Y: ,995,Time: ,2015-05-05 10:12:03.903
Client Num:, 21, X: ,245, Y: ,1064,Time: ,2015-05-05 10:12:04.002
Client Num:, 21, X: ,240, Y: ,1068,Time: ,2015-05-05 10:12:04.102
Client Num:, 21, X: ,252, Y: ,1062,Time: ,2015-05-05 10:12:04.203
Client Num:, 21, X: ,-2469, Y: ,-3217,Time: ,2015-05-05 10:12:04.502
Client Num:, 21, X: ,1170, Y: ,405,Time: ,2015-05-05 10:12:09.898
Client Num:, 21, X: ,729, Y: ,373,Time: ,2015-05-05 10:12:09.998
Client Num:, 21, X: ,386, Y: ,546,Time: ,2015-05-05 10:12:10.098
Client Num:, 21, X: ,245, Y: ,623,Time: ,2015-05-05 10:12:10.198
Client Num:, 21, X: ,234, Y: ,641,Time: ,2015-05-05 10:12:10.299
Client Num:, 21, X: ,211, Y: ,634,Time: ,2015-05-05 10:12:10.397
Client Num:, 21, X: ,198, Y: ,625,Time: ,2015-05-05 10:12:10.498
Client Num:, 21, X: ,501, Y: ,850,Time: ,2015-05-05 10:12:10.597
Client Num:, 21, X: ,515, Y: ,806,Time: ,2015-05-05 10:12:11.364
Client Num:, 21, X: ,484, Y: ,862,Time: ,2015-05-05 10:12:11.463
Client Num:, 21, X: ,486, Y: ,856,Time: ,2015-05-05 10:12:11.563
Client Num:, 21, X: ,492, Y: ,849,Time: ,2015-05-05 10:12:11.663
Client Num:, 21, X: ,469, Y: ,846,Time: ,2015-05-05 10:12:11.763
Client Num:, 21, X: ,433, Y: ,843,Time: ,2015-05-05 10:12:11.863
Client Num:, 21, X: ,406, Y: ,840,Time: ,2015-05-05 10:12:11.963
Client Num:, 21, X: ,387, Y: ,836,Time: ,2015-05-05 10:12:12.063
Client Num:, 21, X: ,373, Y: ,833,Time: ,2015-05-05 10:12:12.163
Client Num:, 21, X: ,366, Y: ,833,Time: ,2015-05-05 10:12:12.263
Client Num:, 21, X: ,370, Y: ,833,Time: ,2015-05-05 10:12:12.362
Client Num:, 21, X: ,371, Y: ,833,Time: ,2015-05-05 10:12:12.462
Client Num:, 21, X: ,370, Y: ,833,Time: ,2015-05-05 10:12:12.563
Client Num:, 21, X: ,154, Y: ,823,Time: ,2015-05-05 10:12:12.662
Client Num:, 21, X: ,154, Y: ,829,Time: ,2015-05-05 10:12:12.763
Client Num:, 21, X: ,156, Y: ,828,Time: ,2015-05-05 10:12:12.862
Client Num:, 21, X: ,149, Y: ,827,Time: ,2015-05-05 10:12:12.962
Client Num:, 21, X: ,-92, Y: ,1004,Time: ,2015-05-05 10:12:13.062
Client Num:, 21, X: ,-172, Y: ,1079,Time: ,2015-05-05 10:12:13.162
Client Num:, 21, X: ,-173, Y: ,1073,Time: ,2015-05-05 10:12:13.262
Client Num:, 21, X: ,-174, Y: ,1067,Time: ,2015-05-05 10:12:13.362
Client Num:, 21, X: ,-554, Y: ,1692,Time: ,2015-05-05 10:12:13.462
Client Num:, 21, X: ,-536, Y: ,1677,Time: ,2015-05-05 10:12:13.628
Client Num:, 21, X: ,-518, Y: ,1644,Time: ,2015-05-05 10:12:13.729
Client Num:, 21, X: ,-495, Y: ,1688,Time: ,2015-05-05 10:12:13.828
Client Num:, 21, X: ,-486, Y: ,1711,Time: ,2015-05-05 10:12:13.995
Client Num:, 21, X: ,-475, Y: ,1731,Time: ,2015-05-05 10:12:14.094
Client Num:, 21, X: ,-467, Y: ,1745,Time: ,2015-05-05 10:12:14.195
Client Num:, 21, X: ,175, Y: ,607,Time: ,2015-05-05 10:12:14.327
Client Num:, 21, X: ,301, Y: ,523,Time: ,2015-05-05 10:12:14.428
Client Num:, 21, X: ,405, Y: ,486,Time: ,2015-05-05 10:12:14.527
Client Num:, 21, X: ,315, Y: ,530,Time: ,2015-05-05 10:12:14.628
