Test at 4/30/2015 10:52:05 AM,

Client Num:, 15, X: ,-1206, Y: ,-7733,Time: ,2015-04-30 11:38:06.757
Client Num: ,15, X_Received: ,658, Y_Received: ,378,Time: ,2015-04-30 11:38:06.757
Client Num:, 15, X: ,69, Y: ,-2971,Time: ,2015-04-30 11:38:06.858
Client Num: ,15, X_Received: ,657, Y_Received: ,375,Time: ,2015-04-30 11:38:06.858
Client Num:, 15, X: ,-611, Y: ,114,Time: ,2015-04-30 11:38:06.957
Client Num: ,15, X_Received: ,659, Y_Received: ,386,Time: ,2015-04-30 11:38:06.957
Client Num:, 15, X: ,-128, Y: ,-2645,Time: ,2015-04-30 11:38:07.057
Client Num: ,15, X_Received: ,659, Y_Received: ,397,Time: ,2015-04-30 11:38:07.057
Client Num:, 15, X: ,-3317, Y: ,286,Time: ,2015-04-30 11:38:07.160
Client Num: ,15, X_Received: ,659, Y_Received: ,412,Time: ,2015-04-30 11:38:07.160
Client Num:, 15, X: ,-1411, Y: ,297,Time: ,2015-04-30 11:38:07.259
Client Num: ,15, X_Received: ,658, Y_Received: ,411,Time: ,2015-04-30 11:38:07.259
Client Num:, 15, X: ,-156242, Y: ,-4609,Time: ,2015-04-30 11:38:07.392
Client Num: ,15, X_Received: ,946, Y_Received: ,610,Time: ,2015-04-30 11:38:07.392
Client Num:, 15, X: ,-69163, Y: ,-4804,Time: ,2015-04-30 11:38:07.491
Client Num: ,15, X_Received: ,948, Y_Received: ,607,Time: ,2015-04-30 11:38:07.491
Client Num:, 15, X: ,-2979, Y: ,469,Time: ,2015-04-30 11:38:07.590
Client Num: ,15, X_Received: ,950, Y_Received: ,597,Time: ,2015-04-30 11:38:07.590
Client Num:, 15, X: ,-1647, Y: ,420,Time: ,2015-04-30 11:38:07.690
Client Num: ,15, X_Received: ,929, Y_Received: ,597,Time: ,2015-04-30 11:38:07.690
Client Num:, 15, X: ,-1757, Y: ,612,Time: ,2015-04-30 11:38:07.790
Client Num: ,15, X_Received: ,915, Y_Received: ,596,Time: ,2015-04-30 11:38:07.790
Client Num:, 15, X: ,-746, Y: ,422,Time: ,2015-04-30 11:38:07.892
Client Num: ,15, X_Received: ,905, Y_Received: ,600,Time: ,2015-04-30 11:38:07.892
Client Num:, 15, X: ,1308, Y: ,-2768,Time: ,2015-04-30 11:38:08.123
Client Num: ,15, X_Received: ,894, Y_Received: ,602,Time: ,2015-04-30 11:38:08.123
Client Num:, 15, X: ,478, Y: ,-902,Time: ,2015-04-30 11:38:08.257
Client Num: ,15, X_Received: ,915, Y_Received: ,606,Time: ,2015-04-30 11:38:08.257
Client Num:, 15, X: ,-1890, Y: ,771,Time: ,2015-04-30 11:38:08.356
Client Num: ,15, X_Received: ,932, Y_Received: ,607,Time: ,2015-04-30 11:38:08.356
Client Num:, 15, X: ,-575, Y: ,919,Time: ,2015-04-30 11:38:08.455
Client Num: ,15, X_Received: ,946, Y_Received: ,610,Time: ,2015-04-30 11:38:08.455
Client Num:, 15, X: ,-91, Y: ,320,Time: ,2015-04-30 11:38:08.557
Client Num: ,15, X_Received: ,952, Y_Received: ,609,Time: ,2015-04-30 11:38:08.557
Client Num:, 15, X: ,87, Y: ,384,Time: ,2015-04-30 11:38:08.690
Client Num: ,15, X_Received: ,968, Y_Received: ,603,Time: ,2015-04-30 11:38:08.690
Client Num:, 15, X: ,161, Y: ,753,Time: ,2015-04-30 11:38:08.791
Client Num: ,15, X_Received: ,973, Y_Received: ,600,Time: ,2015-04-30 11:38:08.791
Client Num:, 15, X: ,127, Y: ,886,Time: ,2015-04-30 11:38:08.922
Client Num: ,15, X_Received: ,978, Y_Received: ,598,Time: ,2015-04-30 11:38:08.922
Client Num:, 15, X: ,-25, Y: ,713,Time: ,2015-04-30 11:38:09.056
Client Num: ,15, X_Received: ,930, Y_Received: ,785,Time: ,2015-04-30 11:38:09.056
Client Num:, 15, X: ,-1377, Y: ,541,Time: ,2015-04-30 11:38:09.157
Client Num: ,15, X_Received: ,850, Y_Received: ,460,Time: ,2015-04-30 11:38:09.157
Client Num:, 15, X: ,-652, Y: ,1041,Time: ,2015-04-30 11:38:09.256
Client Num: ,15, X_Received: ,809, Y_Received: ,528,Time: ,2015-04-30 11:38:09.256
Client Num:, 15, X: ,-276, Y: ,859,Time: ,2015-04-30 11:38:09.355
Client Num: ,15, X_Received: ,810, Y_Received: ,508,Time: ,2015-04-30 11:38:09.355
Client Num:, 15, X: ,-715, Y: ,231,Time: ,2015-04-30 11:38:09.455
Client Num: ,15, X_Received: ,814, Y_Received: ,501,Time: ,2015-04-30 11:38:09.455
Client Num:, 15, X: ,-73770, Y: ,3734,Time: ,2015-04-30 11:38:09.556
Client Num: ,15, X_Received: ,817, Y_Received: ,504,Time: ,2015-04-30 11:38:09.556
Client Num:, 15, X: ,-1090, Y: ,424,Time: ,2015-04-30 11:38:09.655
Client Num: ,15, X_Received: ,817, Y_Received: ,508,Time: ,2015-04-30 11:38:09.655
Client Num:, 15, X: ,129, Y: ,320,Time: ,2015-04-30 11:38:09.821
Client Num: ,15, X_Received: ,1421, Y_Received: ,281,Time: ,2015-04-30 11:38:09.821
Client Num:, 15, X: ,822, Y: ,192,Time: ,2015-04-30 11:38:09.923
