Test at 5/12/2015 2:04:20 PM,
Client Num:, 37, X: ,511, Y: ,801,Time: ,2015-05-12 14:37:03.961
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.961
Client Num:, 37, X: ,495, Y: ,801,Time: ,2015-05-12 14:37:04.096
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.096
Client Num:, 37, X: ,419, Y: ,815,Time: ,2015-05-12 14:37:04.327
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.327
Client Num:, 37, X: ,376, Y: ,819,Time: ,2015-05-12 14:37:04.493
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.493
Client Num:, 37, X: ,351, Y: ,820,Time: ,2015-05-12 14:37:04.761
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.761
Client Num:, 37, X: ,324, Y: ,449,Time: ,2015-05-12 14:37:04.894
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.894
Client Num:, 37, X: ,356, Y: ,275,Time: ,2015-05-12 14:37:05.060
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.060
Client Num:, 37, X: ,393, Y: ,133,Time: ,2015-05-12 14:37:05.159
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.159
Client Num:, 37, X: ,381, Y: ,125,Time: ,2015-05-12 14:37:05.294
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.294
Client Num:, 37, X: ,321, Y: ,-59,Time: ,2015-05-12 14:37:05.426
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.426
Client Num:, 37, X: ,291, Y: ,-49,Time: ,2015-05-12 14:37:05.525
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.525
Client Num:, 37, X: ,285, Y: ,-36,Time: ,2015-05-12 14:37:05.660
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.660
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.660
Client Num:, 37, X: ,277, Y: ,-25,Time: ,2015-05-12 14:37:05.726
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.726
Client Num:, 37, X: ,240, Y: ,53,Time: ,2015-05-12 14:37:05.960
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:05.960
Client Num:, 37, X: ,258, Y: ,77,Time: ,2015-05-12 14:37:06.024
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.024
Client Num:, 37, X: ,230, Y: ,117,Time: ,2015-05-12 14:37:06.126
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.126
Client Num:, 37, X: ,274, Y: ,108,Time: ,2015-05-12 14:37:06.225
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.225
Client Num:, 37, X: ,281, Y: ,101,Time: ,2015-05-12 14:37:06.325
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.325
Client Num:, 37, X: ,277, Y: ,95,Time: ,2015-05-12 14:37:06.427
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.427
Client Num:, 37, X: ,266, Y: ,91,Time: ,2015-05-12 14:37:06.525
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.525
Client Num:, 37, X: ,260, Y: ,88,Time: ,2015-05-12 14:37:06.626
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.626
Client Num:, 37, X: ,256, Y: ,84,Time: ,2015-05-12 14:37:06.726
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.726
Client Num:, 37, X: ,252, Y: ,78,Time: ,2015-05-12 14:37:06.826
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.826
Client Num:, 37, X: ,1121, Y: ,85,Time: ,2015-05-12 14:37:06.925
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:06.925
Client Num:, 37, X: ,1136, Y: ,98,Time: ,2015-05-12 14:37:07.025
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.025
Client Num:, 37, X: ,1124, Y: ,119,Time: ,2015-05-12 14:37:07.124
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.124
Client Num:, 37, X: ,1190, Y: ,97,Time: ,2015-05-12 14:37:07.224
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.224
Client Num:, 37, X: ,579, Y: ,182,Time: ,2015-05-12 14:37:07.325
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.325
Client Num:, 37, X: ,569, Y: ,188,Time: ,2015-05-12 14:37:07.424
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.424
Client Num:, 37, X: ,556, Y: ,165,Time: ,2015-05-12 14:37:07.524
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.524
Client Num:, 37, X: ,1060, Y: ,108,Time: ,2015-05-12 14:37:07.623
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.623
Client Num:, 37, X: ,1413, Y: ,135,Time: ,2015-05-12 14:37:07.725
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.725
Client Num:, 37, X: ,1455, Y: ,82,Time: ,2015-05-12 14:37:07.823
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.823
Client Num:, 37, X: ,1456, Y: ,79,Time: ,2015-05-12 14:37:07.924
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:07.924
Client Num:, 37, X: ,449, Y: ,265,Time: ,2015-05-12 14:37:08.023
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.023
Client Num:, 37, X: ,453, Y: ,265,Time: ,2015-05-12 14:37:08.124
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.124
Client Num:, 37, X: ,453, Y: ,218,Time: ,2015-05-12 14:37:08.224
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.224
Client Num:, 37, X: ,431, Y: ,385,Time: ,2015-05-12 14:37:08.322
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.322
Client Num:, 37, X: ,376, Y: ,767,Time: ,2015-05-12 14:37:08.422
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.422
Client Num:, 37, X: ,317, Y: ,810,Time: ,2015-05-12 14:37:08.522
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.522
Client Num:, 37, X: ,290, Y: ,828,Time: ,2015-05-12 14:37:08.623
